,POM,PP,NYLON,PVC,ABS,BAKELITE,Al,Cu,STEEL,ACRYLIC
BALL,7.494903156333497,4.5539445765870195,6.454461322819834,8.66354886001253,6.585582974089524,4.964127117457227,20.606917184563027,13.871672569338163,18.106850916784243,25.01345121148799
GOLF,12.767524321426293,8.115344175176597,13.435809545561236,14.179425489745967,11.948202439001056,9.233356157566925,18.06530631200482,13.535877805489685,17.025365525231088,23.284968779787576
SPIKE,10.912909832035353,7.917449821608117,11.017780953142882,8.33851903920741,9.596904579237076,8.820745073001756,20.697663085604976,12.457187386707776,22.346906484152573,29.42485688354354
NUT,19.200161360938175,10.245417866566187,20.453780261493012,14.210751137944406,15.770131038301852,10.527391523869627,21.691635326481915,16.233512975844278,18.343890545170527,24.02527788025692
SQUARE,19.76994872251009,11.63670454510145,20.54595304456064,20.021833263053693,17.937265150050063,9.597318917004335,27.930948436092795,10.695231046949262,14.733934896720188,22.66441745413804
PENTAGON,21.562889331428675,11.582723969791367,21.727587109592175,13.997656778218815,20.90496661018845,13.246251011307157,19.014558964693308,15.971551602845183,17.944462877845126,23.829496042656004
HEXAGON,18.670479319818234,9.299967894887054,19.484897181004154,12.535623292226127,17.0129887603387,11.32271968132778,21.813076889643643,16.199541949336364,22.539761415427,24.084052236853616
PROPELLER,25.572500288931657,17.183656245306004,27.644684048608394,19.518466978472066,3.3062538129229027,16.193380209562367,24.112354857635285,10.782918823197669,13.039944432831605,17.704014865978408
TURBINE,33.887407323444336,24.875963334359128,33.49115981638425,29.59755206693137,30.771010039284075,25.997159533162144,31.810195225808272,22.76660301564244,24.67750530485575,26.79043677310514
BUNNY,16.179880540743248,11.207467648649365,20.480664234212373,16.80208665060229,17.47267672450491,11.844799800635608,15.91193276273792,9.045892248117262,14.454439132978447,18.387517078763832
